0;0;18029729
1;1;16745545
2;0;89484768
3;1;16756410
4;0;17998553
5;1;16931130
6;0;17946252
7;1;16786763
8;0;18120731
9;1;16706013
10;0;18225339
11;1;16770028
12;0;18164653
13;1;16762211
14;0;18211442
15;1;16971793
16;0;18118570
17;1;16955684
18;0;17998624
19;1;16749342
20;0;17987817
21;1;20712824
22;0;20188515
23;1;16687381
24;0;17952358
25;1;16681249
26;0;18134896
27;1;16715576
28;0;18099980
29;1;25205251
30;0;17899394
31;1;16627195
32;0;18073722
33;1;16748278
34;0;17915161
35;1;16687379
36;0;18067833
37;1;16729620
38;0;18113410
39;1;16768299
40;0;18117148
41;1;16779754
42;0;18617247
43;1;16710917
44;0;18046822
45;1;16797530
46;0;17982149
47;1;17771615
48;0;18106559
49;1;16695162
50;0;17974810
51;1;16645802
52;0;18046502
53;1;16646759
54;0;18029899
55;1;16762597
56;0;17846417
57;1;77582453
58;0;24936655
59;1;16809886
60;0;18248143
61;1;17427621
62;0;18178049
63;1;16742158
64;0;18131161
65;1;16822629
66;0;18051926
67;1;26986217
68;0;18912027
69;1;16713843
70;0;18081770
71;1;16783688
72;0;18090948
73;1;16655813
74;0;17932007
75;1;16731299
76;0;18018680
77;1;17149462
78;0;17926451
79;1;17060720
80;0;17885060
81;1;16713965
82;0;18037942
83;1;16707270
84;0;55317874
85;1;26710155
86;0;33724121
87;1;16649520
88;0;18074097
89;1;16795091
90;0;35372943
91;1;18115813
92;0;18053364
93;1;17517550
94;0;18200014
95;1;16818912
96;0;19815233
97;1;48362255
98;0;17865461
99;1;16616005
