0;0;1772543
1;1;1251152
2;0;2301683
3;1;559191
4;0;1710859
5;1;560626
6;0;1717531
7;1;555817
8;0;1757074
9;1;556352
10;0;1704527
11;1;550062
12;0;1690492
13;1;549734
14;0;1823342
15;1;554618
16;0;1757927
17;1;1123466
18;0;2456807
19;1;1093177
20;0;1875004
21;1;551988
22;0;1697299
23;1;549859
24;0;1766895
25;1;663674
26;0;1736643
27;1;601810
28;0;1719361
29;1;1098347
30;0;2372512
31;1;1332342
32;0;1739412
33;1;610450
34;0;1702784
35;1;551429
36;0;1683886
37;1;1059012
38;0;2424609
39;1;1196996
40;0;1721408
41;1;560860
42;0;1825762
43;1;558347
44;0;1704283
45;1;753227
46;0;2507707
47;1;1321503
48;0;2047233
49;1;644918
50;0;1710773
51;1;578462
52;0;1702932
53;1;554229
54;0;1756599
55;1;559295
56;0;1696210
57;1;551547
58;0;1709493
59;1;555073
60;0;1765545
61;1;557141
62;0;1735871
63;1;553619
64;0;1757237
65;1;595293
66;0;1791673
67;1;572224
68;0;1736105
69;1;559291
70;0;1756197
71;1;555303
72;0;1833740
73;1;555941
74;0;1689769
75;1;554095
76;0;1692945
77;1;575287
78;0;1879571
79;1;1116707
80;0;2295036
81;1;1234765
82;0;1698631
83;1;560969
84;0;1748712
85;1;591796
86;0;1814343
87;1;1156151
88;0;2374248
89;1;962164
90;0;1763333
91;1;622776
92;0;1703326
93;1;557952
94;0;1719829
95;1;548931
96;0;1749655
97;1;578640
98;0;1717490
99;1;563377
