0;Apache;16791635
1;ADDENDUM;27978192
2;Apache;16959810
3;ADDENDUM;17778305
4;Apache;16919305
5;ADDENDUM;17202356
6;Apache;16919445
7;ADDENDUM;17206831
8;Apache;17035654
9;ADDENDUM;17383493
10;Apache;16890278
11;ADDENDUM;23051798
12;Apache;16885674
13;ADDENDUM;17351178
14;Apache;17069892
15;ADDENDUM;17212126
16;Apache;16966006
17;ADDENDUM;17210842
18;Apache;153498060
19;ADDENDUM;17700619
20;Apache;21918417
21;ADDENDUM;17201538
22;Apache;16845967
23;ADDENDUM;34034705
24;Apache;16853049
25;ADDENDUM;17742195
26;Apache;18460915
27;ADDENDUM;17199909
28;Apache;17992351
29;ADDENDUM;17312805
30;Apache;16889937
31;ADDENDUM;18573299
32;Apache;17221778
33;ADDENDUM;17415107
34;Apache;17005734
35;ADDENDUM;18635729
36;Apache;16935181
37;ADDENDUM;19199097
38;Apache;52016991
39;ADDENDUM;17201113
40;Apache;16892451
41;ADDENDUM;30454935
42;Apache;31794342
43;ADDENDUM;17251375
44;Apache;16851548
45;ADDENDUM;17203058
46;Apache;16827221
47;ADDENDUM;17198527
48;Apache;18310815
49;ADDENDUM;18110251
50;Apache;16925018
51;ADDENDUM;17242900
52;Apache;18378893
53;ADDENDUM;17264999
54;Apache;16931307
55;ADDENDUM;17285125
56;Apache;16963865
57;ADDENDUM;17156754
58;Apache;17141983
59;ADDENDUM;17240941
60;Apache;16989461
61;ADDENDUM;17198796
62;Apache;17011762
63;ADDENDUM;17239540
64;Apache;26730430
65;ADDENDUM;19355539
66;Apache;16992144
67;ADDENDUM;17279457
68;Apache;17800383
69;ADDENDUM;17160019
70;Apache;24061683
71;ADDENDUM;17429113
72;Apache;16978892
73;ADDENDUM;19667931
74;Apache;17241379
75;ADDENDUM;17164857
76;Apache;17095307
77;ADDENDUM;17341231
78;Apache;47985035
79;ADDENDUM;17185031
80;Apache;42009647
81;ADDENDUM;17253490
82;Apache;16933267
83;ADDENDUM;17212497
84;Apache;18544319
85;ADDENDUM;17140565
86;Apache;16762020
87;ADDENDUM;17176068
88;Apache;17006357
89;ADDENDUM;17157459
90;Apache;19423058
91;ADDENDUM;18455843
92;Apache;16947421
93;ADDENDUM;17995051
94;Apache;17058957
95;ADDENDUM;17348566
96;Apache;17052134
97;ADDENDUM;18712405
98;Apache;16961002
99;ADDENDUM;17253747
